school_name,conf_abbr,class,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos,player
Creighton,,,145,145,31.5,7.9,14.3,.550,6.0,10.2,.587,1.9,4.1,.458,4.1,4.9,.831,1.9,5.6,7.5,1.3,0.2,0.1,2.2,1.8,21.7,,4.29,Doug McDermott
UCLA,,,37,1,24.4,3.4,7.8,.441,2.1,4.3,.494,1.3,3.5,.375,1.3,1.8,.691,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2.0,9.4,,7.62,Zach LaVine
NC State,,,70,49,31.2,7.5,13.6,.555,6.9,11.5,.598,0.6,2.0,.315,2.8,4.3,.654,2.7,3.0,5.7,1.0,1.5,0.5,1.7,2.5,18.5,,7.32,T.J. Warren
Kentucky,,,39,39,21.1,3.7,6.6,.566,3.7,6.4,.577,0.1,0.2,.250,2.8,3.4,.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,,8.67,Karl-Anthony Towns
Ohio State,,,35,34,33.9,6.6,14.7,.449,3.9,8.1,.479,2.7,6.6,.411,3.4,4.5,.756,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3,,7.37,D'Angelo Russell
Duke,,,38,38,30.1,7.3,11.1,.664,7.3,11.1,.664,0.0,0.0,,2.6,5.1,.510,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,,9.87,Jahlil Okafor
Kentucky,,,105,70,24.5,3.3,5.6,.593,3.3,5.6,.593,0.0,0.0,,1.4,2.8,.508,2.4,3.9,6.2,0.9,1.1,2.2,1.2,2.3,8.0,,8.13,Willie Cauley-Stein
Arizona,,,38,37,28.4,4.6,10.3,.446,3.4,7.2,.478,1.1,3.1,.371,3.5,4.7,.742,2.0,4.5,6.5,1.7,1.5,0.4,2.2,2.6,13.8,,7.41,Stanley Johnson
Wisconsin,,,144,79,20.4,3.7,7.0,.522,3.0,5.1,.580,0.7,1.9,.369,2.1,2.7,.763,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1,,9.61,Frank Kaminsky
Duke,,,39,39,29.1,4.4,9.1,.486,3.3,6.3,.516,1.2,2.8,.418,2.6,4.0,.641,1.3,5.2,6.5,2.1,1.3,0.9,1.8,2.8,12.6,,9.87,Justise Winslow
Texas,,,34,7,22.2,3.4,7.6,.455,2.9,5.7,.513,0.5,1.8,.274,2.8,3.3,.839,1.3,5.2,6.5,0.6,0.3,2.6,1.4,2.4,10.1,,9.07,Myles Turner
Kentucky,,,36,21,23.0,3.3,6.7,.488,3.1,5.9,.536,0.1,0.8,.138,2.1,2.8,.735,1.8,3.4,5.2,1.1,0.5,0.4,1.1,1.6,8.7,,8.67,Trey Lyles
Kentucky,,,38,0,21.5,3.6,7.6,.470,2.0,3.8,.527,1.5,3.7,.411,1.4,1.7,.828,0.4,1.6,2.0,1.1,0.4,0.1,1.0,1.5,10.0,,8.67,Devin Booker
Murray State,,,69,69,32.4,6.3,14.6,.432,4.0,8.3,.487,2.3,6.3,.359,3.7,4.7,.781,0.4,3.2,3.7,5.7,1.8,0.5,2.9,2.4,18.5,,-3.19,Cameron Payne
LSU,,,33,32,34.9,6.5,11.7,.560,6.5,11.6,.561,0.0,0.1,.333,6.0,9.0,.670,3.1,8.6,11.8,4.8,2.0,0.8,3.4,2.8,19.2,,7.00,Ben Simmons
Duke,,,36,34,34.6,5.9,13.4,.442,3.7,8.0,.464,2.2,5.4,.410,3.2,4.7,.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,,10.59,Brandon Ingram
California,,,34,34,27.6,4.8,11.1,.431,3.9,8.1,.482,0.9,3.0,.294,4.2,6.4,.654,1.1,4.3,5.4,2.0,0.8,0.6,3.1,3.2,14.6,,7.87,Jaylen Brown
