school_name,conf_abbr,class,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos,player
Maryland,,,64,64,28.9,4.9,9.5,.516,4.1,7.0,.584,0.8,2.5,.323,2.9,4.1,.709,3.0,5.7,8.6,0.8,0.6,1.8,1.5,2.2,13.5,,10.30,Jalen Smith
Florida State,,,63,30,19.3,3.1,6.6,.475,2.0,3.9,.514,1.1,2.7,.417,1.1,1.5,.720,0.8,2.4,3.2,1.1,1.0,0.6,0.6,1.4,8.4,,8.95,Devin Vassell
Iowa State,,,57,56,34.6,3.7,7.2,.509,1.9,3.1,.621,1.8,4.2,.426,1.0,1.2,.775,1.0,3.4,4.4,4.7,1.9,0.8,1.6,1.3,10.1,,9.68,Tyrese Haliburton
Alabama,,,65,65,34.5,5.6,12.5,.447,3.9,7.8,.498,1.7,4.7,.362,3.0,3.8,.793,0.6,3.0,3.6,4.0,1.3,0.4,2.8,2.2,15.9,,8.56,Kira Lewis Jr.
Vanderbilt,,,46,33,31.0,4.8,10.8,.442,2.2,4.5,.485,2.6,6.3,.410,2.6,3.1,.825,1.0,4.3,5.3,1.3,0.9,0.7,1.6,3.0,14.7,,7.10,Aaron Nesmith
Oklahoma State,,,27,26,35.4,6.5,14.8,.438,4.2,9.1,.461,2.3,5.7,.400,4.9,5.8,.846,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,,9.78,Cade Cunningham
USC,,,33,33,33.9,6.0,10.3,.578,5.6,9.1,.615,0.4,1.2,.300,4.1,5.8,.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,,10.65,Evan Mobley
Florida State,,,24,7,24.8,4.1,8.1,.503,3.6,6.5,.561,0.5,1.7,.275,1.7,2.8,.621,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3,,9.16,Scottie Barnes
Gonzaga,,,30,30,28.9,5.2,10.3,.503,4.0,6.8,.588,1.2,3.5,.337,2.9,3.8,.754,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4,,5.92,Jalen Suggs
Michigan,,,55,55,31.2,4.3,9.3,.465,2.9,5.0,.583,1.4,4.3,.325,2.0,2.4,.835,0.8,5.3,6.1,2.0,1.3,0.8,1.4,2.4,12.0,,11.21,Franz Wagner
Baylor,,,60,60,32.7,4.4,9.4,.465,2.8,5.3,.519,1.6,4.1,.394,1.6,2.4,.653,0.4,2.3,2.7,4.7,1.7,0.4,2.3,2.6,12.0,,,Davion Mitchell
Stanford,,,20,14,27.9,3.8,10.2,.374,2.7,6.2,.427,1.2,4.0,.291,2.0,2.5,.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,,10.01,Ziaire Williams
UConn,,,43,30,27.9,5.3,11.5,.456,4.2,8.1,.513,1.1,3.4,.320,3.4,4.2,.802,1.6,3.1,4.7,1.5,0.9,0.2,2.1,2.4,15.0,,6.97,James Bouknight
Alabama,,,30,19,22.5,2.8,6.5,.431,1.4,2.7,.500,1.4,3.8,.381,1.1,1.5,.750,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1,,10.01,Joshua Primo
Oregon,,,54,54,32.0,5.3,11.2,.473,3.3,5.9,.555,2.0,5.3,.380,2.3,2.9,.803,1.1,4.0,5.1,2.1,1.8,0.7,1.9,1.5,14.9,,9.37,Chris Duarte
Arkansas,,,32,32,33.8,5.2,12.1,.427,3.3,7.0,.478,1.8,5.1,.358,4.7,5.8,.812,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8,,7.18,Moses Moody
Duke,,,39,39,33.0,6.3,13.2,.478,5.2,9.8,.525,1.1,3.3,.338,3.5,4.8,.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2,,7.26,Paolo Banchero
Gonzaga,,,32,31,26.9,5.3,8.8,.607,4.0,5.5,.737,1.3,3.3,.390,2.2,3.1,.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1,,4.50,Chet Holmgren
Auburn,,,34,34,28.8,5.4,12.6,.429,3.1,7.0,.435,2.3,5.5,.420,3.9,4.8,.799,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9,,8.17,Jabari Smith Jr.
Iowa,,,66,39,25.4,5.9,10.9,.543,4.7,7.6,.618,1.2,3.3,.373,2.8,3.7,.749,2.3,4.7,7.0,1.0,1.1,1.6,0.9,1.9,15.8,,8.65,Keegan Murray
Purdue,,,59,46,28.6,4.9,11.3,.440,3.4,6.6,.523,1.5,4.7,.322,3.5,4.7,.739,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9,,9.73,Jaden Ivey
Arizona,,,63,49,29.4,4.9,10.7,.456,2.9,5.6,.521,1.9,5.0,.383,3.2,4.1,.789,1.3,4.0,5.3,2.0,0.9,0.2,1.5,1.8,14.8,,7.51,Bennedict Mathurin
Baylor,,,30,1,25.1,3.3,7.0,.474,2.5,4.3,.585,0.8,2.7,.296,1.8,3.0,.589,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2,,8.76,Jeremy Sochan
Wisconsin,,,62,31,29.2,4.8,11.1,.431,4.0,8.5,.462,0.8,2.5,.325,3.0,3.9,.779,1.2,5.0,6.2,1.6,1.1,0.7,1.7,2.1,13.4,,10.54,Johnny Davis
Santa Clara,,,84,72,30.5,4.5,9.5,.469,3.4,6.5,.525,1.1,3.0,.352,2.6,3.3,.785,0.5,3.2,3.7,2.9,1.2,0.5,1.6,2.6,12.6,,2.14,Jalen Williams
Memphis,,,29,29,25.3,4.9,8.1,.597,4.9,8.1,.600,0.0,0.0,.000,2.2,3.6,.625,3.0,5.2,8.1,1.3,0.8,2.1,2.2,2.7,12.0,,7.86,Jalen Duren
Kansas,,,122,116,32.6,4.8,10.8,.448,2.8,5.3,.526,2.0,5.5,.373,1.8,2.5,.714,1.0,3.4,4.4,1.6,1.0,0.5,1.7,1.8,13.5,,11.49,Ochai Agbaji
Alabama,,,37,37,32.6,6.0,13.9,.430,3.1,6.5,.483,2.9,7.5,.384,3.9,4.6,.859,2.1,6.2,8.2,2.1,0.9,0.9,2.2,2.4,18.8,,9.65,Brandon Miller
Arkansas,,,36,36,34.9,4.1,9.1,.453,3.4,6.6,.513,0.8,2.6,.301,3.7,5.3,.705,1.3,3.8,5.1,3.9,2.1,0.6,3.0,2.6,12.8,,9.87,Anthony Black
Houston,,,36,35,27.6,4.4,9.4,.465,3.4,6.6,.515,1.0,2.8,.347,1.5,2.2,.663,2.3,4.5,6.8,1.8,1.0,1.3,1.5,2.1,11.2,,4.79,Jarace Walker
UCF,,,34,34,34.7,5.4,11.3,.478,3.6,6.8,.535,1.8,4.6,.394,2.5,3.2,.782,2.4,4.6,7.0,1.4,0.9,1.7,1.4,2.0,15.1,,5.09,Taylor Hendricks
Kentucky,,,32,32,32.2,4.3,9.8,.446,3.0,5.8,.514,1.4,4.0,.346,1.7,2.2,.757,0.9,2.8,3.7,4.3,2.0,0.5,2.1,2.4,11.7,,8.08,Cason Wallace
Michigan,,,29,29,31.8,4.7,11.4,.414,2.0,4.1,.496,2.7,7.3,.368,2.1,2.6,.800,0.3,2.6,2.8,2.0,0.4,0.7,1.3,2.2,14.2,,8.69,Jett Howard
Duke,,,34,27,20.6,2.3,3.4,.658,2.2,3.1,.721,0.1,0.4,.154,0.6,1.0,.600,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,5.2,,7.44,Dereck Lively II
Kansas,,,36,36,32.7,4.8,10.9,.442,2.5,5.2,.484,2.3,5.7,.403,2.1,2.5,.854,1.1,4.0,5.1,1.7,1.4,0.3,1.3,2.1,14.1,,11.84,Gradey Dick
UConn,,,64,41,23.2,3.6,9.1,.396,1.5,3.5,.428,2.1,5.7,.376,2.5,2.8,.872,0.8,2.3,3.0,1.0,0.5,0.4,1.2,1.7,11.8,,7.70,Jordan Hawkins
