player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Kris Dunn,27-29,93.1%,99-157,63.1%,37.4%,42-138,30.4%,19.0%,42-115,36.5%,52.4%,95,83,31.5,4.5,9.9,0.45,3.7,7.8,0.476,0.8,2.2,0.354,3.1,4.5,0.693,1.1,4.0,5.1,5.8,2.2,0.4,3.3,2.9,12.8
Buddy Hield,18-22,81.8%,119-178,66.9%,27.7%,35-101,34.7%,5.7%,147-322,45.7%,68.7%,132,118,31.7,5.9,13.2,0.448,3.3,6.5,0.508,2.6,6.8,0.39,2.8,3.4,0.836,1.6,3.4,5.0,1.9,1.3,0.3,2.2,2.0,17.4
Jamal Murray,18-19,94.7%,77-111,69.4%,28.6%,54-150,36.0%,13.0%,113-277,40.8%,89.4%,36,36,35.2,6.8,14.9,0.454,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.783,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1,20.0
Marquese Chriss,52-65,80.0%,102-145,70.3%,52.9%,56-133,42.1%,58.9%,21-60,35.0%,95.2%,34,34,24.9,5.3,9.9,0.53,4.6,8.2,0.568,0.6,1.8,0.35,2.6,3.8,0.682,2.5,2.9,5.4,0.8,0.9,1.6,2.0,4.1,13.7
Jakob Poeltl,32-34,94.1%,199-284,70.1%,58.8%,23-62,37.1%,34.8%,0-0,0.0%,0%,70,70,26.9,5.1,7.7,0.658,5.1,7.7,0.659,0.0,0.0,0.0,3.1,5.2,0.605,2.8,5.2,8.0,1.3,0.5,1.7,1.8,2.4,13.3
Domantas Sabonis,22-24,91.7%,157-214,73.4%,52.9%,67-149,45.0%,46.3%,5-14,35.7%,100.0%,74,32,26.6,5.2,8.2,0.632,5.1,8.0,0.638,0.1,0.2,0.357,3.1,4.2,0.729,2.6,6.8,9.4,1.3,0.5,0.6,2.0,3.0,13.5
Taurean Prince,14-15,93.3%,78-123,63.4%,53.8%,52-156,33.3%,36.5%,53-147,36.1%,83.0%,129,42,20.2,3.6,7.9,0.46,2.6,5.2,0.504,1.0,2.7,0.376,2.0,2.8,0.718,1.6,2.7,4.2,1.1,0.9,0.5,1.7,2.1,10.2
Denzel Valentine,5-7,71.4%,38-61,62.3%,47.4%,63-148,42.6%,33.3%,104-235,44.3%,86.5%,144,116,29.0,4.0,9.1,0.442,2.2,4.6,0.476,1.8,4.5,0.408,1.5,2.0,0.779,1.1,4.8,5.9,4.4,0.9,0.3,2.2,2.1,11.4
Markelle Fultz,14-15,93.3%,71-115,61.7%,15.5%,86-198,43.4%,11.6%,52-126,41.3%,55.8%,25,25,35.7,8.4,17.6,0.476,6.3,12.5,0.502,2.1,5.0,0.413,4.4,6.7,0.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2
Lonzo Ball,37-40,92.5%,94-120,78.3%,51.1%,15-29,51.7%,20.0%,80-194,41.2%,73.8%,36,36,35.1,5.3,9.5,0.551,3.0,4.1,0.732,2.2,5.4,0.412,1.8,2.7,0.673,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6
Jayson Tatum,18-21,85.7%,79-126,62.7%,29.1%,46-122,37.7%,8.7%,40-117,34.2%,87.5%,29,27,33.3,5.7,12.6,0.452,4.3,8.6,0.504,1.4,4.0,0.342,4.1,4.8,0.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8
Josh Jackson,57-67,85.1%,131-190,68.9%,42.7%,55-149,36.9%,16.4%,34-91,37.4%,82.4%,35,35,30.8,6.3,12.3,0.513,5.3,9.7,0.549,1.0,2.6,0.378,2.8,4.9,0.566,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3
De'Aaron Fox,20-21,95.2%,131-203,64.5%,19.1%,66-176,37.5%,19.7%,17-69,24.6%,76.5%,36,34,29.6,5.9,12.4,0.479,5.5,10.5,0.521,0.5,1.9,0.246,4.3,5.9,0.736,0.6,3.4,4.0,4.6,1.5,0.2,2.4,2.5,16.7
Jonathan Isaac,34-39,87.2%,73-107,68.2%,45.2%,26-60,43.3%,34.6%,31-89,34.8%,67.7%,32,32,26.2,4.1,8.0,0.508,3.1,5.2,0.593,1.0,2.8,0.348,2.9,3.7,0.78,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0
Lauri Markkanen,20-24,83.3%,65-100,65.0%,46.2%,51-113,45.1%,31.4%,69-163,42.3%,95.7%,37,37,30.8,5.0,10.2,0.492,3.1,5.8,0.545,1.9,4.4,0.423,3.7,4.4,0.835,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6
Dennis Smith Jr.,22-22,100.0%,103-161,64.0%,15.5%,33-107,30.8%,3.0%,55-152,36.2%,41.8%,32,32,34.8,6.0,13.1,0.455,4.3,8.3,0.509,1.7,4.8,0.359,4.5,6.3,0.715,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1
Zach Collins,20-24,83.3%,95-127,74.8%,67.4%,30-59,50.8%,50.0%,10-22,45.5%,100.0%,39,0,17.3,3.5,5.3,0.652,3.2,4.8,0.672,0.3,0.5,0.476,2.8,3.8,0.743,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10.0
Malik Monk,24-28,85.7%,72-111,64.9%,48.6%,75-187,40.1%,21.3%,104-260,40.0%,77.9%,38,37,32.1,6.6,14.7,0.45,3.9,7.8,0.497,2.7,6.9,0.397,3.9,4.7,0.822,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8
Luke Kennard,3-3,100.0%,55-87,63.2%,18.2%,94-198,47.5%,19.1%,88-200,44.0%,73.9%,73,47,31.2,5.2,11.2,0.461,3.2,6.1,0.526,2.0,5.1,0.383,3.4,3.9,0.867,1.1,3.3,4.3,2.0,0.9,0.3,1.2,2.1,15.7
Donovan Mitchell,9-13,69.2%,64-116,55.2%,20.3%,37-101,36.6%,8.1%,80-226,35.4%,78.7%,65,38,26.0,4.1,9.8,0.418,2.6,5.2,0.497,1.5,4.6,0.329,2.0,2.5,0.788,1.1,3.0,4.1,2.2,1.5,0.3,1.3,2.6,11.7
Bam Adebayo,99-105,94.3%,138-185,74.6%,71.7%,32-99,32.3%,62.5%,0-0,0.0%,0%,38,38,30.1,4.5,7.5,0.599,4.5,7.5,0.599,0.0,0.0,,4.1,6.2,0.653,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6,13.0
Deandre Ayton,87-89,97.8%,185-229,80.8%,58.9%,79-187,42.2%,59.5%,12-35,34.3%,91.7%,35,35,33.5,7.9,12.9,0.612,7.5,11.9,0.635,0.3,1.0,0.343,4.0,5.5,0.733,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1
Marvin Bagley III,94-98,95.9%,193-264,73.1%,57.0%,54-118,45.8%,42.6%,23-58,39.7%,87.0%,33,32,33.9,8.2,13.3,0.614,7.5,11.6,0.647,0.7,1.8,0.397,4.0,6.3,0.627,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0
Jaren Jackson Jr.,31-31,100.0%,61-93,65.6%,45.9%,20-43,46.5%,60.0%,38-96,39.6%,97.4%,35,34,21.8,3.4,6.6,0.513,2.3,3.9,0.596,1.1,2.7,0.396,3.0,3.8,0.797,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9
Trae Young,0-0,0%,105-201,52.2%,11.4%,38-89,42.7%,2.6%,118-328,36.0%,26.3%,32,32,35.4,8.2,19.3,0.422,4.5,9.1,0.493,3.7,10.3,0.36,7.4,8.6,0.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4
Mo Bamba,65-68,95.6%,109-143,76.2%,53.2%,23-75,30.7%,21.7%,14-51,27.5%,85.7%,30,29,30.2,4.9,9.0,0.541,4.4,7.3,0.603,0.5,1.7,0.275,2.7,4.0,0.681,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9
Wendell Carter Jr.,56-58,96.6%,120-175,68.6%,60.8%,40-97,41.2%,50.0%,19-46,41.3%,94.7%,37,37,26.9,4.8,8.6,0.561,4.3,7.4,0.586,0.5,1.2,0.413,3.4,4.5,0.738,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5
Collin Sexton,5-8,62.5%,103-182,56.6%,23.3%,49-124,39.5%,6.1%,44-131,33.6%,31.8%,33,32,29.9,5.9,13.3,0.447,4.6,9.3,0.495,1.3,4.0,0.336,5.9,7.6,0.778,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2
Kevin Knox,18-20,90.0%,65-99,65.7%,53.8%,75-174,43.1%,44.0%,57-168,33.9%,91.2%,37,37,32.4,5.3,11.9,0.445,3.8,7.4,0.509,1.5,4.5,0.341,3.4,4.4,0.774,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6
Mikal Bridges,35-42,83.3%,109-161,67.7%,45.9%,31-75,41.3%,25.8%,104-239,43.5%,94.2%,116,73,27.3,3.9,7.5,0.525,2.5,3.8,0.645,1.5,3.7,0.4,1.9,2.3,0.845,1.1,3.2,4.3,1.6,1.4,0.9,1.1,2.2,11.3
Shai Gilgeous-Alexander,11-11,100.0%,108-182,59.3%,11.1%,52-138,37.7%,3.8%,23-57,40.4%,82.6%,37,24,33.7,4.9,10.2,0.485,4.3,8.6,0.5,0.6,1.5,0.404,3.9,4.7,0.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4
Miles Bridges,30-35,85.7%,84-128,65.6%,52.4%,54-137,39.4%,59.3%,71-193,36.8%,90.1%,62,60,31.6,6.2,13.2,0.47,4.2,7.8,0.537,2.0,5.5,0.375,2.5,3.2,0.776,1.4,6.2,7.6,2.4,0.6,1.1,2.1,1.7,17.0
Jerome Robinson,12-13,92.3%,98-157,62.4%,35.7%,71-161,44.1%,39.4%,81-197,41.1%,66.7%,90,90,34.6,6.2,13.9,0.45,4.5,9.2,0.488,1.8,4.7,0.376,3.4,4.5,0.755,0.5,3.3,3.8,3.3,1.3,0.3,2.9,2.5,17.7
Zion Williamson,72-79,91.1%,247-313,78.9%,47.4%,25-51,49.0%,28.0%,24-71,33.8%,83.3%,33,33,30.0,9.0,13.2,0.68,8.2,11.0,0.747,0.7,2.2,0.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6
Ja Morant,28-31,90.3%,160-264,60.6%,26.9%,34-92,37.0%,5.9%,56-152,36.8%,37.5%,65,65,35.3,6.1,12.6,0.485,4.8,8.9,0.545,1.3,3.8,0.343,5.1,6.3,0.81,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7
RJ Barrett,40-42,95.2%,168-262,64.1%,38.1%,78-204,38.2%,24.4%,73-237,30.8%,86.3%,38,38,35.3,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,0.308,3.9,5.9,0.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6
De'Andre Hunter,19-19,100.0%,92-133,69.2%,33.7%,67-156,42.9%,31.3%,46-105,43.8%,97.8%,71,38,26.6,4.4,8.5,0.509,3.4,6.3,0.541,0.9,2.3,0.419,2.8,3.6,0.773,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4
Jarrett Culver,28-29,96.6%,147-221,66.5%,24.5%,58-169,34.3%,22.4%,49-161,30.4%,55.1%,75,58,29.5,5.3,11.6,0.459,3.9,7.5,0.522,1.4,4.1,0.341,2.9,4.2,0.687,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2.0,14.9
Coby White,5-6,83.3%,66-99,66.7%,18.2%,40-112,35.7%,15.0%,82-233,35.2%,72.0%,35,35,28.5,5.4,12.7,0.423,3.0,6.1,0.5,2.3,6.6,0.353,3.0,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1
Jaxson Hayes,74-75,98.7%,105-123,85.4%,82.9%,18-46,39.1%,33.3%,0-0,0.0%,0%,32,21,23.3,3.8,5.3,0.728,3.8,5.3,0.728,0.0,0.0,,2.3,3.1,0.74,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0
Rui Hachimura,58-60,96.7%,185-257,72.0%,59.5%,75-171,43.9%,30.7%,15-36,41.7%,100.0%,102,39,19.7,4.5,7.8,0.579,4.3,7.1,0.607,0.2,0.7,0.316,2.8,3.7,0.746,1.1,3.3,4.4,0.8,0.6,0.5,1.2,1.6,12.1
Cam Reddish,7-11,63.6%,41-80,51.2%,29.3%,24-85,28.2%,25.0%,89-267,33.3%,82.0%,36,35,29.7,4.3,12.0,0.356,1.8,4.6,0.394,2.5,7.4,0.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5
Cameron Johnson,9-10,90.0%,67-94,71.3%,43.3%,48-114,42.1%,62.5%,96-210,45.7%,92.7%,62,56,29.6,5.2,11.0,0.475,2.9,5.4,0.542,2.3,5.6,0.411,2.3,2.7,0.828,1.8,3.5,5.3,2.4,1.0,0.2,1.3,1.6,15.0
P.J. Washington,33-37,89.2%,90-137,65.7%,53.3%,67-149,45.0%,40.3%,33-78,42.3%,93.9%,72,63,28.3,4.5,8.7,0.521,4.0,7.3,0.547,0.5,1.4,0.384,3.4,5.4,0.632,2.1,4.5,6.6,1.7,0.8,1.0,1.9,2.6,12.9
Tyler Herro,4-5,80.0%,56-84,66.7%,41.1%,70-150,46.7%,21.4%,60-169,35.5%,81.7%,37,37,32.6,5.0,10.9,0.462,3.4,6.3,0.538,1.6,4.6,0.355,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0
Romeo Langford,10-14,71.4%,91-138,65.9%,24.2%,52-132,39.4%,25.0%,34-125,27.2%,64.7%,32,32,34.1,5.5,12.3,0.448,4.5,8.4,0.53,1.1,3.9,0.272,4.4,6.1,0.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5
Anthony Edwards,27-27,100.0%,89-129,69.0%,38.2%,37-122,30.3%,18.9%,69-237,29.1%,47.8%,32,32,33.0,6.3,15.8,0.402,4.1,8.1,0.504,2.3,7.7,0.294,4.1,5.3,0.772,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1
Patrick Williams,25-32,78.1%,53-85,62.4%,41.5%,26-72,36.1%,11.5%,16-50,32.0%,87.5%,29,0,22.5,3.3,7.1,0.459,2.7,5.4,0.503,0.6,1.7,0.32,2.1,2.6,0.838,1.3,2.7,4.0,1.0,1.0,1.0,1.7,1.6,9.2
Isaac Okoro,19-23,82.6%,101-149,67.8%,36.6%,4-25,16.0%,0.0%,20-70,28.6%,60.0%,28,28,31.5,4.5,8.7,0.514,3.8,6.2,0.607,0.7,2.5,0.286,3.2,4.8,0.672,1.9,2.5,4.4,2.0,0.9,0.9,2.0,2.7,12.9
Onyeka Okongwu,58-61,95.1%,135-186,72.6%,57.0%,39-94,41.5%,46.2%,1-4,25.0%,0.0%,28,28,30.6,6.3,10.1,0.616,6.2,10.0,0.621,0.0,0.1,0.25,3.7,5.1,0.72,3.3,5.4,8.6,1.1,1.2,2.7,2.0,2.7,16.2
Obi Toppin,107-115,93.0%,167-202,82.7%,68.9%,46-103,44.7%,56.5%,32-82,39.0%,93.8%,64,46,29.0,7.0,10.8,0.647,6.3,9.2,0.688,0.7,1.6,0.417,2.5,3.6,0.706,1.4,5.2,6.6,2.0,0.8,1.0,2.0,1.9,17.1
Jalen Smith,49-52,94.2%,114-158,72.2%,64.0%,22-67,32.8%,45.5%,32-87,36.8%,93.8%,64,64,28.9,4.9,9.5,0.516,4.1,7.0,0.584,0.8,2.5,0.323,2.9,4.1,0.709,3.0,5.7,8.6,0.8,0.6,1.8,1.5,2.2,13.5
Devin Vassell,26-28,92.9%,51-73,69.9%,62.7%,49-115,42.6%,22.4%,44-106,41.5%,86.4%,63,30,19.3,3.1,6.6,0.475,2.0,3.9,0.514,1.1,2.7,0.417,1.1,1.5,0.72,0.8,2.4,3.2,1.1,1.0,0.6,0.6,1.4,8.4
Tyrese Haliburton,7-8,87.5%,46-62,74.2%,34.8%,26-60,43.3%,0.0%,52-124,41.9%,84.6%,57,56,34.6,3.7,7.2,0.509,1.9,3.1,0.621,1.8,4.2,0.426,1.0,1.2,0.775,1.0,3.4,4.4,4.7,1.9,0.8,1.6,1.3,10.1
Kira Lewis Jr.,6-6,100.0%,117-203,57.6%,19.7%,33-93,35.5%,18.2%,56-154,36.4%,55.4%,65,65,34.5,5.6,12.5,0.447,3.9,7.8,0.498,1.7,4.7,0.362,3.0,3.8,0.793,0.6,3.0,3.6,4.0,1.3,0.4,2.8,2.2,15.9
Aaron Nesmith,6-6,100.0%,29-52,55.8%,27.6%,16-38,42.1%,6.3%,60-115,52.2%,85.0%,46,33,31.0,4.8,10.8,0.442,2.2,4.5,0.485,2.6,6.3,0.41,2.6,3.1,0.825,1.0,4.3,5.3,1.3,0.9,0.7,1.6,3.0,14.7
Cade Cunningham,7-9,77.8%,67-108,62.0%,28.4%,46-137,33.6%,6.5%,62-155,40.0%,45.2%,27,26,35.4,6.5,14.8,0.438,4.2,9.1,0.461,2.3,5.7,0.4,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1
Evan Mobley,63-66,95.5%,113-144,78.5%,52.2%,72-157,45.9%,41.7%,12-40,30.0%,100.0%,33,33,33.9,6.0,10.3,0.578,5.6,9.1,0.615,0.4,1.2,0.3,4.1,5.8,0.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4
Scottie Barnes,19-21,90.5%,61-89,68.5%,23.0%,26-66,39.4%,11.5%,11-40,27.5%,81.8%,24,7,24.8,4.1,8.1,0.503,3.6,6.5,0.561,0.5,1.7,0.275,1.7,2.8,0.621,1.5,2.5,4.0,4.1,1.5,0.5,2.5,2.2,10.3
Jalen Suggs,9-10,90.0%,97-153,63.4%,33.0%,22-50,44.0%,4.5%,35-104,33.7%,54.3%,30,30,28.9,5.2,10.3,0.503,4.0,6.8,0.588,1.2,3.5,0.337,2.9,3.8,0.754,0.6,4.7,5.3,4.5,1.9,0.3,2.9,2.6,14.4
Franz Wagner,11-11,100.0%,63-93,67.7%,41.3%,26-65,40.0%,7.7%,35-102,34.3%,77.1%,55,55,31.2,4.3,9.3,0.465,2.9,5.0,0.583,1.4,4.3,0.325,2.0,2.4,0.835,0.8,5.3,6.1,2.0,1.3,0.8,1.4,2.4,12.0
Davion Mitchell,2-2,100.0%,70-111,63.1%,18.6%,25-57,43.9%,8.0%,63-141,44.7%,60.3%,60,60,32.7,4.4,9.4,0.465,2.8,5.3,0.519,1.6,4.1,0.394,1.6,2.4,0.653,0.4,2.3,2.7,4.7,1.7,0.4,2.3,2.6,12.0
Ziaire Williams,10-11,90.9%,26-49,53.1%,50.0%,27-75,36.0%,18.5%,23-79,29.1%,60.9%,20,14,27.9,3.8,10.2,0.374,2.7,6.2,0.427,1.2,4.0,0.291,2.0,2.5,0.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7
James Bouknight,12-12,100.0%,52-79,65.8%,34.6%,24-65,36.9%,12.5%,22-75,29.3%,50.0%,43,30,27.9,5.3,11.5,0.456,4.2,8.1,0.513,1.1,3.4,0.32,3.4,4.2,0.802,1.6,3.1,4.7,1.5,0.9,0.2,2.1,2.4,15.0
Joshua Primo,3-3,100.0%,37-63,58.7%,35.1%,4-19,21.1%,50.0%,43-113,38.1%,88.4%,30,19,22.5,2.8,6.5,0.431,1.4,2.7,0.5,1.4,3.8,0.381,1.1,1.5,0.75,1.0,2.3,3.4,0.8,0.6,0.3,1.4,1.7,8.1
Chris Duarte,14-15,93.3%,63-90,70.0%,39.7%,36-67,53.7%,19.4%,61-144,42.4%,65.6%,54,54,32.0,5.3,11.2,0.473,3.3,5.9,0.555,2.0,5.3,0.38,2.3,2.9,0.803,1.1,4.0,5.1,2.1,1.8,0.7,1.9,1.5,14.9
Moses Moody,10-11,90.9%,62-110,56.4%,37.1%,45-114,39.5%,31.1%,58-162,35.8%,89.7%,32,32,33.8,5.2,12.1,0.427,3.3,7.0,0.478,1.8,5.1,0.358,4.7,5.8,0.812,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8
Paolo Banchero,41-44,93.2%,127-188,67.6%,42.5%,74-195,37.9%,21.6%,44-130,33.8%,88.6%,39,39,33.0,6.3,13.2,0.478,5.2,9.8,0.525,1.1,3.3,0.338,3.5,4.8,0.729,1.7,6.1,7.8,3.2,1.1,0.9,2.4,1.9,17.2
Chet Holmgren,57-57,100.0%,105-125,84.0%,52.4%,24-50,48.0%,20.8%,41-105,39.0%,78.0%,32,31,26.9,5.3,8.8,0.607,4.0,5.5,0.737,1.3,3.3,0.39,2.2,3.1,0.717,1.8,8.1,9.9,1.9,0.8,3.7,1.9,2.7,14.1
Jabari Smith Jr.,14-15,93.3%,41-63,65.1%,41.5%,63-176,35.8%,30.2%,79-188,42.0%,73.4%,34,34,28.8,5.4,12.6,0.429,3.1,7.0,0.435,2.3,5.5,0.42,3.9,4.8,0.799,0.9,6.5,7.4,2.0,1.1,1.0,1.9,2.1,16.9
Keegan Murray,63-67,94.0%,196-277,70.8%,45.4%,45-111,40.5%,35.6%,66-166,39.8%,86.4%,66,39,25.4,5.9,10.9,0.543,4.7,7.6,0.618,1.2,3.3,0.373,2.8,3.7,0.749,2.3,4.7,7.0,1.0,1.1,1.6,0.9,1.9,15.8
Jaden Ivey,28-31,90.3%,110-162,67.9%,23.6%,29-100,29.0%,6.9%,64-179,35.8%,60.9%,59,46,28.6,4.9,11.3,0.44,3.4,6.6,0.523,1.5,4.7,0.322,3.5,4.7,0.739,0.7,3.5,4.3,2.6,0.8,0.6,2.1,1.7,14.9
Bennedict Mathurin,38-42,90.5%,111-174,63.8%,57.7%,24-86,27.9%,33.3%,83-223,37.2%,77.1%,63,49,29.4,4.9,10.7,0.456,2.9,5.6,0.521,1.9,5.0,0.383,3.2,4.1,0.789,1.3,4.0,5.3,2.0,0.9,0.2,1.5,1.8,14.8
Jeremy Sochan,15-20,75.0%,51-68,75.0%,60.8%,25-62,40.3%,40.0%,24-81,29.6%,95.8%,30,1,25.1,3.3,7.0,0.474,2.5,4.3,0.585,0.8,2.7,0.296,1.8,3.0,0.589,2.0,4.4,6.4,1.8,1.3,0.7,1.6,2.3,9.2
Johnny Davis,16-19,84.2%,89-143,62.2%,31.5%,84-228,36.8%,9.5%,37-121,30.6%,64.9%,62,31,29.2,4.8,11.1,0.431,4.0,8.5,0.462,0.8,2.5,0.325,3.0,3.9,0.779,1.2,5.0,6.2,1.6,1.1,0.7,1.7,2.1,13.4
Jalen Williams,25-27,92.6%,124-186,66.7%,35.5%,53-135,39.3%,17.0%,42-106,39.6%,71.4%,84,72,30.5,4.5,9.5,0.469,3.4,6.5,0.525,1.1,3.0,0.352,2.6,3.3,0.785,0.5,3.2,3.7,2.9,1.2,0.5,1.6,2.6,12.6
Jalen Duren,70-76,92.1%,111-152,73.0%,69.4%,30-83,36.1%,63.3%,0-1,0.0%,0%,29,29,25.3,4.9,8.1,0.597,4.9,8.1,0.6,0.0,0.0,0.0,2.2,3.6,0.625,3.0,5.2,8.1,1.3,0.8,2.1,2.2,2.7,12.0
Ochai Agbaji,37-41,90.2%,119-164,72.6%,52.9%,36-126,28.6%,38.9%,103-253,40.7%,85.4%,122,116,32.6,4.8,10.8,0.448,2.8,5.3,0.526,2.0,5.5,0.373,1.8,2.5,0.714,1.0,3.4,4.4,1.6,1.0,0.5,1.7,1.8,13.5
Brandon Miller,23-26,88.5%,85-147,57.8%,25.9%,31-93,33.3%,3.2%,106-276,38.4%,83.0%,37,37,32.6,6.0,13.9,0.43,3.1,6.5,0.483,2.9,7.5,0.384,3.9,4.6,0.859,2.1,6.2,8.2,2.1,0.9,0.9,2.2,2.4,18.8
Anthony Black,24-26,92.3%,93-148,62.8%,37.6%,28-88,31.8%,3.6%,28-93,30.1%,71.4%,36,36,34.9,4.1,9.1,0.453,3.4,6.6,0.513,0.8,2.6,0.301,3.7,5.3,0.705,1.3,3.8,5.1,3.9,2.1,0.6,3.0,2.6,12.8
Jarace Walker,31-32,96.9%,70-101,69.3%,58.6%,53-138,38.4%,49.1%,35-101,34.7%,100.0%,36,35,27.6,4.4,9.4,0.465,3.4,6.6,0.515,1.0,2.8,0.347,1.5,2.2,0.663,2.3,4.5,6.8,1.8,1.0,1.3,1.5,2.1,11.2
Taylor Hendricks,36-37,97.3%,88-136,64.7%,48.9%,35-94,37.2%,57.1%,61-155,39.4%,86.9%,34,34,34.7,5.4,11.3,0.478,3.6,6.8,0.535,1.8,4.6,0.394,2.5,3.2,0.782,2.4,4.6,7.0,1.4,0.9,1.7,1.4,2.0,15.1
Cason Wallace,11-11,100.0%,52-73,71.2%,9.6%,43-112,38.4%,9.3%,44-127,34.6%,81.8%,32,32,32.2,4.3,9.8,0.446,3.0,5.8,0.514,1.4,4.0,0.346,1.7,2.2,0.757,0.9,2.8,3.7,4.3,2.0,0.5,2.1,2.4,11.7
Jett Howard,6-6,100.0%,29-47,61.7%,31.0%,30-72,41.7%,16.7%,78-212,36.8%,76.9%,29,29,31.8,4.7,11.4,0.414,2.0,4.1,0.496,2.7,7.3,0.368,2.1,2.6,0.8,0.3,2.6,2.8,2.0,0.4,0.7,1.3,2.2,14.2
Dereck Lively II,54-55,98.2%,74-96,77.1%,74.3%,1-8,12.5%,100.0%,2-13,15.4%,100.0%,34,27,20.6,2.3,3.4,0.658,2.2,3.1,0.721,0.1,0.4,0.154,0.6,1.0,0.6,2.1,3.3,5.4,1.1,0.5,2.4,0.7,2.7,5.2
Gradey Dick,15-16,93.8%,62-101,61.4%,59.7%,29-87,33.3%,44.8%,83-206,40.3%,79.5%,36,36,32.7,4.8,10.9,0.442,2.5,5.2,0.484,2.3,5.7,0.403,2.1,2.5,0.854,1.1,4.0,5.1,1.7,1.4,0.3,1.3,2.1,14.1
Jordan Hawkins,9-13,69.2%,49-89,55.1%,42.9%,24-75,32.0%,25.0%,109-281,38.8%,89.9%,64,41,23.2,3.6,9.1,0.396,1.5,3.5,0.428,2.1,5.7,0.376,2.5,2.8,0.872,0.8,2.3,3.0,1.0,0.5,0.4,1.2,1.7,11.8
