player,dunk_tot,dunk_pct,rim_tot,rim_pct,rim_asted,other2pt_tot,other2pt_pct,other2pt_asted,3pt_tot,3pt_pct,3pt_asted,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Jimmer Fredette,2-3,66.7%,109-151,72.2%,29.4%,112-299,37.5%,8.9%,121-308,39.3%,45.5%,139,102,29.6,6.0,13.3,0.455,3.9,7.8,0.497,2.1,5.4,0.394,4.5,5.1,0.882,0.5,2.1,2.6,3.7,1.2,0.1,2.5,1.2,18.7
Klay Thompson,8-8,100.0%,66-110,60.0%,15.2%,76-195,39.0%,32.9%,98-246,39.8%,73.5%,98,96,34.4,6.1,14.4,0.424,3.6,8.1,0.45,2.5,6.3,0.39,3.2,3.9,0.827,0.9,3.9,4.8,2.6,1.3,0.8,2.9,2.5,17.9
Alec Burks,26-28,92.9%,122-186,65.6%,40.2%,93-235,39.6%,19.4%,28-95,29.5%,57.1%,68,67,30.9,6.2,12.6,0.495,5.5,10.4,0.533,0.7,2.2,0.313,5.9,7.3,0.804,2.2,3.6,5.8,2.4,1.1,0.4,2.3,2.4,19.0
Markieff Morris,47-50,94.0%,128-168,76.2%,64.8%,42-104,40.4%,57.1%,25-59,42.4%,100.0%,109,43,19.3,3.1,5.7,0.553,2.8,4.8,0.579,0.3,0.9,0.404,1.9,2.9,0.653,2.0,4.1,6.1,1.2,0.6,0.9,1.6,2.7,8.5
Marcus Morris,31-33,93.9%,114-147,77.6%,66.7%,100-198,50.5%,43.0%,26-76,34.2%,96.2%,109,90,24.0,4.7,8.4,0.555,4.3,7.3,0.585,0.4,1.1,0.358,2.9,4.3,0.66,2.4,3.8,6.2,1.3,0.9,0.4,1.6,2.6,12.6
Anthony Davis,96-98,98.0%,152-174,87.4%,61.2%,55-143,38.5%,41.8%,3-20,15.0%,100.0%,40,40,32.0,5.3,8.4,0.623,5.2,7.9,0.653,0.1,0.5,0.15,3.6,5.1,0.709,3.0,7.4,10.4,1.3,1.4,4.7,1.0,2.0,14.2
Michael Kidd-Gilchrist,34-36,94.4%,100-143,69.9%,45.0%,47-132,35.6%,31.9%,13-51,25.5%,100.0%,40,39,31.1,4.0,8.2,0.491,3.7,6.9,0.535,0.3,1.3,0.255,3.6,4.8,0.745,2.6,4.9,7.4,1.9,1.0,0.9,2.2,2.4,11.9
Bradley Beal,18-20,90.0%,89-137,65.0%,34.8%,23-70,32.9%,30.4%,63-186,33.9%,90.5%,37,37,34.2,4.7,10.6,0.445,3.0,5.6,0.541,1.7,5.0,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8
Dion Waiters,26-29,89.7%,90-144,62.5%,37.8%,39-100,39.0%,28.2%,41-113,36.3%,78.0%,71,0,20.4,3.5,7.7,0.453,2.5,4.9,0.513,1.0,2.8,0.348,1.8,2.3,0.753,0.4,1.5,1.9,2.0,1.5,0.2,1.1,1.6,9.7
Thomas Robinson,70-83,84.3%,169-262,64.5%,62.7%,80-229,34.9%,50.0%,7-14,50.0%,85.7%,105,42,18.7,3.8,7.2,0.525,3.7,7.0,0.525,0.1,0.1,0.5,2.2,3.6,0.606,2.1,5.2,7.3,1.0,0.6,0.7,1.6,2.1,9.8
