pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp,year,skip
1,CHI,Derrick Rose,Memphis,15,723,22054,12573,2324,3770,.456,.316,.831,30.5,17.4,3.2,5.2,44.6,.097,1.2,18.2,2008,
2,MIA,Michael Beasley,Kansas State,11,609,13903,7568,2861,788,.465,.349,.759,22.8,12.4,4.7,1.3,15.6,.054,-1.7,0.9,2008,
3,MIN,O.J. Mayo,USC,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.9,4.7,2008,
4,SEA,Russell Westbrook,UCLA,16,1162,39081,25211,8307,9468,.438,.304,.776,33.6,21.7,7.1,8.1,110.6,.136,3.9,57.9,2008,
5,MEM,Kevin Love,UCLA,16,929,27254,15299,9403,2151,.439,.369,.829,29.3,16.5,10.1,2.3,94.5,.166,3.3,36.2,2008,
6,NYK,Danilo Gallinari,,14,777,22410,11607,3618,1469,.428,.381,.876,28.8,14.9,4.7,1.9,65.4,.140,1.7,20.8,2008,
7,LAC,Eric Gordon,Indiana,16,886,28116,13868,2067,2443,.430,.371,.811,31.7,15.7,2.3,2.8,41.1,.070,-0.7,8.9,2008,
8,MIL,Joe Alexander,West Virginia,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3,2008,
9,CHA,D.J. Augustin,Texas,14,976,22851,9259,1805,3761,.412,.381,.867,23.4,9.5,1.8,3.9,47.7,.100,-0.7,7.6,2008,
10,NJN,Brook Lopez,Stanford,16,1025,30976,16476,6336,1472,.496,.349,.796,30.2,16.1,6.2,1.4,85.3,.132,1.3,26.0,2008,
11,IND,Jerryd Bayless,Arizona,11,586,12486,4909,1235,1674,.411,.361,.818,21.3,8.4,2.1,2.9,18.6,.072,-1.6,1.1,2008,
12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-2.6,-2.4,2008,
13,POR,Brandon Rush,Kansas,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.4,1.6,2008,
14,GSW,Anthony Randolph,LSU,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4,2008,
15,PHO,Robin Lopez,Stanford,16,992,20937,8326,4660,819,.537,.297,.743,21.1,8.4,4.7,0.8,49.6,.114,-1.1,4.6,2008,
16,PHI,Marreese Speights,Florida,10,705,10640,5592,2875,461,.459,.356,.797,15.1,7.9,4.1,0.7,25.8,.116,-2.2,-0.6,2008,
17,TOR,Roy Hibbert,Georgetown,9,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,-1.1,3.5,2008,
18,WAS,JaVale McGee,Nevada,16,909,14676,6907,4577,386,.578,.192,.604,16.1,7.6,5.0,0.4,43.7,.143,0.0,7.3,2008,
19,CLE,J.J. Hickson,NC State,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-1.8,0.5,2008,
